10	0.5770103581109209
50	0.8180433028829878
100	0.8901996295834326
500	0.8036554194698041
1000	0.6311955058828207
5000	0.16625784132795035
10000	0.057463015000919104
20000	0.01260629397865185
30000	0.0040757924681460765
40000	0.001808444140375503
50000	0.0008944753707516369
100000	5.6873668152675523e-05
200000	1.1758333052926573e-06
300000	6.095057272446022e-08
400000	5.081234663627284e-09
500000	5.554677230547997e-10
600000	7.430976504202981e-11
700000	1.1555863250048215e-11
800000	2.0207952842812546e-12
900000	3.8841536747082635e-13
1000000	8.07193773930874e-14
