10	0.5723095236707983
100	0.8864381995371429
1000	0.6391047064038097
2500	0.3576842729552182
5000	0.17532031588754365
7500	0.10041538869741391
10000	0.06283421837872012
25000	0.00796444031487178
50000	0.0011707618194908473
75000	0.000285555422535145
100000	8.737550353133987e-05
200000	2.3328177778818e-06
300000	1.4909537449726743e-07
400000	1.4799548896869671e-08
500000	2.063013099002378e-09
600000	2.9384835701417087e-10
700000	5.523413160049556e-11
800000	1.4188804942600305e-11
900000	6.002125661445964e-12
1000000	7.314852532715081e-13
