1	8.835782005251065e-22
3	5.780843242258275e-22
5	4.438330302547541e-22
7	3.662559943675311e-22
10	3.0675752354102825e-22
25	1.320131967427374e-22
50	6.441974870320563e-23
75	4.3649758855164967e-23
100	3.300679885838937e-23
250	1.3400156787509674e-23
500	6.733682297562819e-24
750	4.496589063161481e-24
1000	3.375330315664215e-24
2500	1.3521366511825902e-24
5000	6.76409249279753e-25
7500	4.510129283068394e-25
10000	3.382945329225947e-25
25000	1.353369220410317e-25
50000	6.767161101752017e-26
75000	4.5115280621484283e-26
100000	3.383708091845185e-26
250000	1.3534843479825496e-26
500000	6.765977002457731e-27
750000	4.5063490002340645e-27
1000000	3.02319131125486e-27
